i,area,depth,trinode_1,trinode_2,trinode_3,lochRegion
"94808",8403.427734375,38.8231658935547,"53157","53158","53678","7"
"94809",8568.46875,43.7065277099609,"53678","53158","53160","7"
"94810",5144.77734375,52.6619644165039,"53159","53160","53158","7"
"94811",9451.5458984375,36.1667556762695,"53679","53678","53160","7"
"94812",10150.1787109375,43.1168518066406,"53679","53160","53161","7"
"94813",12341.3198242188,43.2108840942383,"53679","53161","53680","7"
"94814",11934.7958984375,52.4633598327637,"53162","53680","53161","7"
"94815",14002.6401367188,53.1987724304199,"53163","53680","53162","7"
"94816",11808.6625976563,43.9028129577637,"53163","53681","53680","7"
"94817",12387.9194335938,40.4681167602539,"53163","53682","53681","7"
"94818",14988.5463867188,52.0587959289551,"53163","53164","53682","7"
"94819",15091.13671875,47.8276519775391,"53682","53164","53683","7"
"94820",20949.7353515625,63.2317695617676,"53165","53683","53164","7"
"94821",18887.2524414063,58.0950241088867,"53165","53684","53683","7"
"94822",20042.119140625,67.3748550415039,"53165","53685","53684","7"
"94823",23561.65625,79.2127075195313,"53165","53166","53685","7"
"94824",23476.828125,74.3673858642578,"53686","53685","53166","7"
"94825",46038.4033203125,79.1896133422852,"53687","53686","53166","7"
"94826",65765.5639648438,89.149658203125,"53167","53687","53166","7"
"94827",75525.9633789063,91.8717498779297,"53688","53687","53167","7"
"94828",71178.1284179688,97.6801605224609,"53688","53167","53168","7"
"94829",75811.7578125,99.3150787353516,"53688","53168","53689","7"
"94830",75507.36328125,99.7537078857422,"53169","53689","53168","7"
"94831",77080.322265625,97.6599731445313,"53169","53690","53689","7"
"94832",86916.2622070313,92.1722183227539,"53169","53691","53690","7"
"94833",85388.1313476563,90.2493515014648,"53169","53170","53691","7"
"94834",88515.8374023438,84.4352416992188,"53692","53691","53170","7"
"94835",87448.8549804688,82.0712661743164,"53692","53170","53171","7"
"94836",88433.50390625,76.0135116577148,"53693","53692","53171","7"
"94837",83871.40234375,72.0108795166016,"53693","53171","53172","7"
"94838",105987.988769531,64.7271728515625,"53693","53172","53694","7"
"94839",104536.966796875,60.9084167480469,"53173","53694","53172","7"
"94840",85837.4912109375,44.5401840209961,"53695","53694","53173","7"
"94841",69383.1518554688,33.7734336853027,"53695","53173","53174","7"
